ID,Case,Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location
9041,4799840,HL101034,01/01/2005 01:24:00 PM,010XX W 68TH ST,560,ASSAULT,SIMPLE,STREET,False,False,724,7,17,68,08A,,,2005,08/17/2015 03:03:40 PM,,,
55541,4754602,HM360116,01/01/2005 03:00:00 PM,014XX E 72ND ST,840,THEFT,FINANCIAL ID THEFT: OVER $300,RESIDENCE,False,True,324,3,5,43,6,1187039,1857542,2005,04/15/2016 08:55:02 AM,41.764201324,-87.59001221,"(41.764201324, -87.59001221)"
25984,4827946,HM440766,01/01/2005 06:00:00 AM,016XX N WESTERN AVE,840,THEFT,FINANCIAL ID THEFT: OVER $300,OTHER,False,False,1434,14,1,24,6,,,2005,08/17/2015 03:03:40 PM,,,
62078,4764768,HM376480,01/01/2005 06:30:00 AM,039XX N PINE GROVE AVE,820,THEFT,$500 AND UNDER,RESIDENTIAL YARD (FRONT/BACK),False,False,2323,19,46,6,6,1170695,1926377,2005,04/15/2016 08:55:02 AM,41.95346201,-87.647902523,"(41.95346201, -87.647902523)"
14553,4694582,HM297690,01/01/2005 08:00:00 AM,002XX N JEFFERSON ST,1140,DECEPTIVE PRACTICE,EMBEZZLEMENT,COMMERCIAL / BUSINESS OFFICE,True,False,1212,12,42,28,12,1172285,1901835,2005,04/15/2016 08:55:02 AM,41.886082567,-87.642784063,"(41.886082567, -87.642784063)"
51348,4867582,HM482627,01/01/2005 08:00:00 AM,028XX E 77TH PL,2825,OTHER OFFENSE,HARASSMENT BY TELEPHONE,RESIDENCE,False,True,421,4,7,43,26,,,2005,08/17/2015 03:03:40 PM,,,
25215,4711186,HM315787,01/01/2005 09:00:00 AM,065XX S CLAREMONT AVE,841,THEFT,FINANCIAL ID THEFT:$300 &UNDER,RESIDENCE,False,False,832,8,15,66,6,1161867,1861251,2005,04/15/2016 08:55:02 AM,41.774939218,-87.682170861,"(41.774939218, -87.682170861)"
44288,4856435,HM470357,01/01/2005 09:00:00 AM,022XX W 18TH PL,840,THEFT,FINANCIAL ID THEFT: OVER $300,RESIDENCE,False,False,1223,12,25,31,6,,,2005,08/17/2015 03:03:40 PM,,,
19083,4816758,HM424678,01/01/2005 10:00:00 AM,057XX W BELMONT AVE,840,THEFT,FINANCIAL ID THEFT: OVER $300,RESTAURANT,False,False,2514,25,30,19,6,,,2005,08/17/2015 03:03:40 PM,,,
2933,4677440,HM279172,01/01/2005 12:00:00 AM,110XX S EWING AVE,840,THEFT,FINANCIAL ID THEFT: OVER $300,RESIDENCE,False,False,433,4,10,52,6,1202204,1832454,2005,04/15/2016 08:55:02 AM,41.694985013,-87.535282612,"(41.694985013, -87.535282612)"
